provinsi	tahun	crime_total	is_outlier	population	population_density	pop_extrapolated	crime_rate_per100k	unemployment_rate
Aceh	2015	8048	FALSE	4976861	85.9	TRUE	161.7	5.654999999999999
Aceh	2016	9646	FALSE	5035090	86.9	TRUE	191.6	5.654999999999999
Aceh	2017	8885	FALSE	5094000	87.9	TRUE	174.4	5.654999999999999
Aceh	2018	8758	FALSE	5153600	88.9	TRUE	169.9	5.654999999999999
Aceh	2019	7483	FALSE	5213897	89.9	TRUE	143.5	5.654999999999999
Aceh	2020	7745	FALSE	5274900	91	FALSE	146.8	5.654999999999999
Aceh	2021	6651	FALSE	5333700	92	FALSE	124.7	5.654999999999999
Aceh	2022	10137	FALSE	5407900	95	FALSE	187.4	5.654999999999999
Aceh	2023	12420	FALSE	5482500	96	FALSE	226.5	5.654999999999999
Aceh	2024	11934	FALSE	5554800	98	FALSE	214.8	5.654999999999999
Bali	2015	5032	FALSE	4073461	704.8	TRUE	123.5	1.83
Bali	2016	4764	FALSE	4121120	713	TRUE	115.6	1.83
Bali	2017	3589	FALSE	4169337	721.4	TRUE	86.1	1.83
Bali	2018	3212	FALSE	4218119	729.8	TRUE	76.1	1.83
Bali	2019	3047	FALSE	4267471	738.4	TRUE	71.4	1.83
Bali	2020	2597	FALSE	4317400	747	FALSE	60.2	1.83
Bali	2021	2404	FALSE	4362700	755	FALSE	55.1	1.83
Bali	2022	6304	FALSE	4415100	790	FALSE	142.8	1.83
Bali	2023	11916	FALSE	4404300	788	FALSE	270.6	1.83
Bali	2024	13848	FALSE	4433300	793	FALSE	312.4	1.83
Banten	2015	5002	FALSE	11231973	1162.4	TRUE	44.5	6.85
Banten	2016	4570	FALSE	11363387	1176	TRUE	40.2	6.85
Banten	2017	3692	FALSE	11496339	1189.7	TRUE	32.1	6.85
Banten	2018	3490	FALSE	11630846	1203.7	TRUE	30	6.85
Banten	2019	3287	FALSE	11766927	1217.8	TRUE	27.9	6.85
Banten	2020	4250	FALSE	11904600	1232	FALSE	35.7	6.85
Banten	2021	3434	FALSE	12061500	1248	FALSE	28.5	6.85
Banten	2022	5038	FALSE	12252000	1310	FALSE	41.1	6.85
Banten	2023	7392	FALSE	12307700	1316	FALSE	60.1	6.85
Banten	2024	6868	FALSE	12431400	1329	FALSE	55.2	6.85
Bengkulu	2015	4463	FALSE	1897093	95.3	TRUE	235.3	3.14
Bengkulu	2016	3345	TRUE	1919289	96.4	TRUE	174.3	3.14
Bengkulu	2017	4867	FALSE	1941744	97.5	TRUE	250.7	3.14
Bengkulu	2018	3389	FALSE	1964463	98.7	TRUE	172.5	3.14
Bengkulu	2019	3453	FALSE	1987447	99.8	TRUE	173.7	3.14
Bengkulu	2020	3333	FALSE	2010700	101	FALSE	165.8	3.14
Bengkulu	2021	3493	FALSE	2032900	102	FALSE	171.8	3.14
Bengkulu	2022	3613	FALSE	2060100	102	FALSE	175.4	3.14
Bengkulu	2023	5579	FALSE	2086000	104	FALSE	267.4	3.14
Bengkulu	2024	5323	FALSE	2112200	105	FALSE	252	3.14
DI Yogyakarta	2015	9692	FALSE	3461413	1104.8	TRUE	280	3.3600000000000003
DI Yogyakarta	2016	8348	FALSE	3501912	1117.8	TRUE	238.4	3.3600000000000003
DI Yogyakarta	2017	7251	FALSE	3542884	1130.8	TRUE	204.7	3.3600000000000003
DI Yogyakarta	2018	6731	FALSE	3584336	1144.1	TRUE	187.8	3.3600000000000003
DI Yogyakarta	2019	6650	FALSE	3626273	1157.5	TRUE	183.4	3.3600000000000003
DI Yogyakarta	2020	7721	FALSE	3668700	1171	FALSE	210.5	3.3600000000000003
